id,name,party_before,party_after,rollcall_id,rollcall_date,coalition_start_date,coalition_before,coalition_after,legislature,legislature_year
73732,Fernando Freire,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73739,Heitor Franco,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73740,Hermínio Calvinho,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73741,Irani Barbosa,PSD,PL>PR,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73741,Irani Barbosa,PL>PR,PSD,838,1992-05-27 18:08:00,1992-04-15,True,False,49,2
73742,Jabes Ribeiro,PSDB,PSDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
73744,João Teixeira,PL>PR,PL>PR,1574,1992-04-29 21:46:00,1992-04-15,False,True,49,2
73744,João Teixeira,PL>PR,PL>PR,118,1993-01-20 20:32:00,1992-10-01,True,False,49,3
73747,Joni Varisco,PMDB,PMDB,554,1992-11-04 20:58:00,1992-10-01,False,True,49,2
73749,José Belato,PMDB,PMDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73755,Sérgio Machado,PSDB,PSDB,1707,1992-10-21 17:30:00,1992-10-01,False,True,49,2
73758,Flávio Derzi,PDS>PP,PDS>PP,553,1992-11-04 19:08:00,1992-10-01,True,False,49,2
73758,Flávio Derzi,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73759,Marilu Guimarães,PTB,PFL>DEM,298,1991-10-23 18:41:00,1991-02-01,False,True,49,1
73761,Nelson Trad,PTB,PTB,2141,1992-04-29 16:43:00,1992-04-15,False,True,49,2
73761,Nelson Trad,PTB,PTB,820,1994-02-08 13:25:00,1994-01-25,True,False,49,4
73761,Nelson Trad,PTB,PMDB,825,2003-04-15 19:10:00,2003-01-01,True,False,52,1
73761,Nelson Trad,PMDB,PMDB,728,2004-01-27 17:24:00,2004-01-23,False,True,52,2
73762,Oscar Goldoni,PDT,PMDB,2107,1995-08-09 16:37:00,1995-01-01,False,True,50,1
73764,Abelardo Lupion,PFL>DEM,PFL>DEM,580,2002-03-19 20:38:00,2002-03-06,True,False,51,4
73767,Basílio Villani,PDS>PP,PDS>PP,1707,1992-10-21 17:30:00,1992-10-01,True,False,49,2
73767,Basílio Villani,PDS>PP,PDS>PP,1323,1996-05-07 18:35:00,1996-04-26,False,True,50,2
73768,Dilceu Sperafico,PDS>PP,PDS>PP,611,1996-05-07 17:13:00,1996-04-26,False,True,50,2
73768,Dilceu Sperafico,PDS>PP,PDS>PP,1027,2005-08-17 17:22:00,2005-07-23,False,True,52,3
73770,Fernando Ribas Carli,PDT,PDS>PP,701,1997-11-04 18:35:00,1996-04-26,False,True,50,3
73771,Flávio Arns,PSDB,PSDB,553,1992-11-04 19:08:00,1992-10-01,False,True,49,2
73771,Flávio Arns,PSDB,PT,2210,2001-10-10 18:34:00,1999-01-01,True,False,51,3
73772,Hermes Parcianello,PMDB,PMDB,729,2004-01-28 17:15:00,2004-01-23,False,True,52,2
73774,João Iensen,PDS>PP,PTB,1084,1995-03-15 17:06:00,1995-01-01,False,True,50,1
