id,id_sessao,proposicao_id,data,resumo,obj_votacao
1701,5237,527704,2014-04-23 19:29:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 111 de 2011. Sim: 357; não: 1; abstenção: 2; total: 360.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
2163,5237,586251,2014-04-23 19:53:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 290 de 2013. Sim: 354; abstenção: 1; total: 355.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO
520,5243,552295,2014-04-29 20:14:00,Mantido o artigo destacado. Sim: 267; não: 72; abstenção: 1; total: 340.,"DVS - PCdoB - ART. 235-C, CONST. DO ART. 6º DO SUBSTITUTIVO"
2299,5249,304008,2014-05-06 22:31:00,Aprovado o Requerimento. Sim: 252; não: 105; abstenção: 01; total: 358. *** Passa-se à apreciação da PEC nº 358/2013.,INVERSÃO DE PAUTA
2300,5249,304008,2014-05-06 22:31:00,"*** Aprovado o requerimento do Dep. Ivan Valente, Líder do PSOL, que solicita preferência para votação da PEC nº 358/2013, item 4 da pauta, sobre a PEC nº 471/2005, item 3. Sim: 252; não: 105; abstenção: 01; total: 358.",INVERSÃO DE PAUTA
471,5249,602633,2014-05-06 23:47:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 358 de 2013, ressalvados os destaques. Sim: 384; não: 06; total: 390.",SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO
1781,5251,559036,2014-05-07 19:11:00,"Aprovada a Subemenda Substitutiva Global apresentada pelo Relator da Comissão Especial ao Projeto de Lei Complementar nº 221 de 2012, ressalvados os destaques. Sim: 417; total: 417.",SUBEMENDA SUBSTITUIVA GLOBAL
1782,5257,559036,2014-05-13 17:57:00,,"DVS - PSDB - EXPR. ""QUANDO  NA MODALIDADE FLUVIAL OU"""
1783,5257,559036,2014-05-13 19:19:00,Rejeitada a Emenda nº 1. Sim: 201; não: 131; abstenção: 2; total: 334.,DVS - PP/PROS - EMENDA Nº 1
1784,5257,559036,2014-05-13 19:56:00,Rejeitada a Emenda nº 20. Sim: 212; não: 131; abstenção: 1; total: 344.,DVS - PP/PROS - EMENDA Nº 20
2223,5265,605327,2014-05-20 18:03:00,Mantido o artigo destacado. Sim: 183 ; Não: 75 ; Abstenção:1; Total: 259.,DVS - DEM - ART. 24 DO PLV
1470,5266,605333,2014-05-20 20:08:00,Aprovada a Emenda nº 23. Sim: 273; Não: 112; Abstenção: 1; Total: 386.,DVS - PSB - EMENDA Nº 23
1134,5269,605330,2014-05-21 21:05:00,Rejeitada a Emenda nº 5. Sim: 69; não: 238; abstenção: 1; total: 308.,DVS DEM - EMENDA Nº 5
1135,5269,605330,2014-05-21 21:58:00,Mantido o artigo destacado. Sim: 192; não: 73; total: 265.,DVS - PP/PROS - ART 3º DO PLV
1482,5275,609196,2014-05-27 18:21:00,"Rejeitadas as Emendas nºs 2, 3 e 4, com parecer pela rejeição.Sim: 9 ; Não: 270; Abstenção: 1; Total:  280.",EMENDAS DE PLENÁRIO Nºs 2 A 4 COM PARECER PELA REJEIÇÃO
484,5275,609198,2014-05-27 19:11:00,"Aprovada a Medida Provisória nº 640 de 2014, na forma do Projeto de Lei de Conversão nº 9/2014, ressalvado o destaque. Sim: 215 ; Não:101; Abstenção:1; Total: 317 .",PROJETO DE LEI DE CONVERSÃO
1930,5285,490116,2014-06-03 17:43:00,,DVS - PDT - §5º DO ART. 5º ACRESC. AO SUBSTITUTIVO DO S.F.
1785,5286,559036,2014-06-03 19:27:00,Aprovada a Emenda nº 7. Sim: 381; Não: 2; Abstenção: 1; Total: 384.,DVS - PSD - EMENDA Nº 7
1786,5286,559036,2014-06-03 20:53:00,Rejeitado o destaque (rejeitada a inclusão dos referidos artigos). Sim: 136; Não: 219; Abstenção: 2; Total: 357.,DVS - PSDB - ARTIGOS: 1º E 2º
1787,5286,559036,2014-06-03 21:35:00,Aprovada a Emenda Aglutinativa nº 2. Sim: 341; Não: 9; Abstenção: 2; Total: 352.,DVS - PSD/SD/PDT/PSC - EMENDA AGLUTINATIVA Nº 2
1788,5286,559036,2014-06-03 22:06:00,Aprovada a Emenda nº 17. Sim: 313; Não: 1; Total: 314.,DVS - PMDB - EMENDA DE PLENÁRIO Nº 17
1789,5286,559036,2014-06-03 22:23:00,Mantido o artigo destacado. Sim: 288; Não: 5; Total: 293.,DVS - PRB - ART. 87-A DA LEI COMPLEMENTAR Nº 123/2006
1790,5286,559036,2014-06-03 22:51:00,Suprimido o artigo destacado. Sim: 137; Não: 165; Total: 302.,DVS - PV - ART. 10 DA SUBEMENDA SUBSTITUTIVA APRESENTADA AO PLP 221/2012
774,5287,525239,2014-06-04 18:22:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 103 de 2011. Sim: 366; não: 2; abstenção: 3; total: 371.",PROPOSTA DE EMENDA À CONSTITUIÇÃO  - SEGUNDO TURNO
460,5288,615815,2014-06-04 20:17:00,Aprovado o Substitutivo apresentado pelo Relator da Comissão de Constituição e Justiça e de Cidadania ao Projeto de Lei Complementar nº 397 de 2014. Sim: 343; não: 30; abstenção: 1; total: 374.,SUSBSTITUTIVO DA CCJC
461,5288,615815,2014-06-04 21:34:00,Rejeitada a Emenda de Plenário nº 1. Sim: 210; não: 108; abstenção: 2; total: 320.,EMENDA DE PLENÁRIO Nº 1
411,5293,19319,2014-06-10 18:50:00,"Prejudicada a votação do requerimento por falta de ""quorum"" (OBSTRUÇÃO).  Sim: 3; não: 210; abstenção: 3; total: 216.",REQUERIMENTO DE RETIRADA DE PAUTA
28,5310,613950,2014-07-15 16:52:00,Aprovado o Projeto de Decreto Legislativo nº 1.472 de 2014. Sim: 270; não: 7; abstenções: 3; total: 280.,ELEIÇÃO PARA O CARGO DE MINISTRO DO TCU
587,5310,617857,2014-07-15 18:48:00,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 294; não: 54; abstenções: 3; total: 351.,URGÊNCIA PARA APRECIAÇÃO DO PDC Nº 1.491/2014
546,5317,617737,2014-08-05 21:09:00,,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
150,5357,619236,2014-10-07 20:07:00,Rejeitada a  Emenda Aglutinativa nº 1. Sim: 114; não: 134; abstenção: 8; total da votação: 256 (art. 17 do RICD: 1; total quórum: 257).,DVS - BLOCO PR - EMENDA AGLUTINATIVA N° 1
547,5372,617737,2014-10-28 20:02:00,"Rejeitado o Requerimento. Sim: 4; não: 253, abstenção: 2; total: 259.",REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
548,5372,617737,2014-10-28 21:33:00,Rejeitado o Requerimento. Sim: 3; não: 247; abstenção: 7; total: 257.,REQUERIMENTO PARA VOTAÇÃO DE ARTIGO POR ARTIGO
258,5378,621806,2014-11-04 18:59:00,"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 426 de 2014. Sim: 367; total: 367.",PRIMEIRO TURNO
1471,5379,623330,2014-11-04 21:49:00,Rejeitado o destaque. Sim: 101; não: 215; abstenção: 1; total: 317.,"DVS - PT - § 2º  DO ART. 2-A DA LEI 9266/96, NA REDAÇÃO PROPOSTA PELA EMENDA 54"
1854,5386,551712,2014-11-11 20:50:00,"Aprovado, em primeiro turno, o Substitutivo adotado pela Comissão Especial à Proposta de Emenda à Constituição nº 197 de 2012. Sim: 337; não: 03; abstenção: 01; total: 341.",SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO
1855,5386,551712,2014-11-11 21:05:00,Aprovada a Emenda Aglutinativa nº 1. Sim: 325; não: 01; abstenção: 01; total: 327.,DVS - PSDB - EMENDA AGLUTINATIVA Nº 1
476,5387,620901,2014-11-12 18:03:00,Rejeitado o Requerimento. Sim: 14; não: 254; abstenção: 1; total: 269.,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA
259,5401,621806,2014-11-26 17:57:00,"Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 426 de 2014. Sim: 349; não: 1; total: 350.",PROPOSTA DE EMENDA À CONSTITUIÇÃO - 2º TURNO
1089,5407,744763,2014-12-02 00:51:00,,REQ. DE ENCERRAMENTO DA DISCUSSÃO
1090,5407,744763,2014-12-02 01:47:00,,VOTAÇÃO DOS DESTAQUES EM GLOBO
1091,5407,744763,2014-12-02 03:24:00,,SUBSTITUTIVO DA COMISSÃO MISTA DE ORÇAMENTO
1092,5407,744763,2014-12-02 03:38:00,,SUBSTITUTIVO DA COMISSÃO MISTA DE ORÇAMENTO
2399,5407,623649,2014-12-02 20:22:00,,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO
2400,5407,623649,2014-12-02 20:43:00,,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO
630,5407,597414,2014-12-02 22:26:00,,CONSULTA AO PLENÁRIO PARA MODIFICAÇÃO DA PAUTA
964,5412,808884,2014-12-09 16:35:00,Aprovado o Projeto de Decreto Legislativo nº 1.612 de 2014. Sim: 313; não: 8; abstenção: 8; total: 329 (Aprova a indicação do Sr. Vital do Rêgo Filho para o cargo de Ministro do Tribunal de Contas da União).,ESCOLHE  O SR. VITAL DO REGO FILHO PARA O CARGO DE MINISTRO DO TCU
1093,5413,744763,2014-12-09 19:36:00,,DVS - PSDB - EMENDA Nº 69
1694,5415,611593,2014-12-10 14:38:00,"Aprovado o Parecer do Conselho de Ética e Decoro Parlamentar, pela procedência da Representação nº 25/2014 e pela perda do mandato parlamentar do Dep. André Vargas. Sim: 359; Não: 1; Abst.: 6; Total de votos: 368.
DCD de 11/12/14 PÁG 74 COL 01.",REPRESENTAÇÃO EM DESFAVOR DO DEPUTADO FEDERAL ANDRÉ VARGAS
